Tags/Difficult ,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,U
implementation,11462661,4866654,2051653,873888,302715,100907,40416,21063,2634,6833,17009,2896,10812,6395,0,0,0,0,0
math,7976675,3980789,2132034,1089608,471693,153290,58449,25612,9134,11619,11390,7699,9213,3696,0,0,980,6662,0
greedy,5136966,4532006,2929669,1345014,548186,188289,52146,18861,4232,8439,2204,5391,5422,7742,0,0,0,0,0
dp,715078,1571605,1369117,909098,559502,238570,65695,12515,2960,5251,497,914,0,0,0,0,0,0,0
data structures,337234,763587,903107,770654,508786,202296,51547,12238,1632,486,2274,996,777,0,328,0,0,0,0
constructive algorithms,2301911,2199629,1353185,843515,264367,113546,43757,21162,1724,3374,922,2812,1183,0,0,0,0,0,0
brute force,4356244,2147106,1222181,543558,267231,110809,28197,23977,2236,3320,8779,0,0,0,0,0,0,0,0
graphs,294015,451018,511975,525345,274137,111735,51715,1592,2371,6125,4835,2633,1523,1970,0,0,0,0,0
sortings,1730020,1883954,1002245,567202,279728,74183,27024,7180,861,1250,1282,735,2845,0,0,0,0,0,0
binary search,432112,897331,958253,485415,287853,127301,18379,6390,1735,5235,3500,4690,0,623,328,0,0,0,0
dfs and similar,321300,482025,486761,476586,262263,114883,50310,1448,2409,5725,0,2332,0,1347,0,0,0,0,0
trees,134154,108020,319305,330447,224486,86931,28325,2340,1204,3841,497,453,0,0,0,0,0,0,0
strings,2949711,1101099,565301,201774,124522,55489,14208,10332,2938,2531,1168,2359,0,0,0,0,0,0,0
number theory,1251822,930724,526340,386983,88073,72176,27122,2056,61,8513,7215,247,0,0,0,0,0,0,0
combinatorics,141464,416979,340570,174438,200559,48341,16175,6990,4757,0,1478,0,0,0,0,0,0,0,0
bitmasks,229453,469924,244135,231136,117879,65756,22308,14228,70,3574,0,0,0,0,0,0,0,0,0
two pointers,286338,462206,550513,334019,181252,58423,7795,1801,0,0,3500,0,0,0,0,0,0,0,0
geometry,416380,281158,147408,72160,29744,11293,3584,706,2062,800,0,0,1112,0,585,776,980,0,0
*special problem,265788,126474,45500,35661,12792,8275,6485,9240,1947,630,1168,263,0,0,0,0,0,0,651
dsu,106418,176133,136180,176267,94801,48330,20031,7070,0,5155,0,767,0,0,0,0,0,0,0
shortest paths,41371,225269,92949,161495,109630,22186,13276,254,112,843,0,0,0,0,0,0,0,0,0
divide and conquer,10470,41517,50177,98334,62682,37006,14295,8217,123,800,0,735,358,0,0,0,0,0,0
probabilities,80092,62512,43052,61167,33875,16404,2289,1007,345,0,0,0,362,0,0,0,0,0,0
hashing,36486,76357,124994,120864,50440,28319,4816,3871,2977,2173,0,274,0,0,0,0,0,0,0
games,223940,235373,125678,86372,18382,7313,2217,482,197,0,0,0,0,0,0,0,0,6662,0
interactive,30712,51537,64218,63369,33828,29161,1929,1334,1967,0,0,0,468,0,0,0,0,0,0
flows,375,35472,41892,32655,30343,9470,5818,619,1699,513,147,480,0,623,328,0,0,0,0
matrices,16484,11264,35276,15950,39745,10722,1993,59,61,0,1457,0,0,0,0,0,0,0,0
string suffix structures,0,14801,10738,36721,31309,8312,4598,826,946,0,0,0,0,0,0,0,0,0,0
fft,92,0,11357,4050,19333,4513,6019,942,1116,20,0,0,0,0,0,0,0,0,0
graph matchings,242,145245,61159,14338,9439,7694,2983,1111,435,0,0,0,0,0,0,0,0,0,0
ternary search,25640,36170,56600,9730,24051,1977,3599,45,0,0,0,0,0,0,0,0,0,0,0
meet-in-the-middle,0,6848,26612,13578,11891,8966,2015,59,0,0,0,322,0,0,0,0,0,0,0
expression parsing,5779,61026,10031,2916,4248,217,0,214,0,0,0,0,0,0,0,0,0,0,0
2-sat,256,0,25575,11250,3453,5624,1075,498,472,0,0,0,0,0,0,0,0,0,0
chinese remainder theorem,12288,6188,8397,4831,3889,1084,0,132,0,0,0,0,0,0,0,0,0,0,0
schedules,4331,5715,16919,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
